Initial temperature;Pressure;Fi;Autoignition time;Final Temperature
1000;;;;
;101325;;;
;;0,2;99,9995;1000,084583
;;0,6;99,9995;1000,11266
;;1;99,9995;1000,118276
;;1,4;99,9995;1000,118511
;;1,8;99,9995;1000,116567
;;2,2;99,9995;1000,1136
;;2,6;99,9995;1000,110151
;;3;99,9995;1000,106504
;;3,4;99,9995;1000,102817
;;3,8;99,9995;1000,09918
;135100;;;
;;0,2;99,9995;1000,14309
;;0,6;99,9995;1000,174067
;;1;99,9995;1000,17723
;;1,4;99,9995;1000,174557
;;1,8;99,9995;1000,169756
;;2,2;99,9995;1000,16409
;;2,6;99,9995;1000,158124
;;3;99,9995;1000,152141
;;3,4;99,9995;1000,146291
;;3,8;99,9995;1000,140653
;168875;;;
;;0,2;99,9995;1000,217444
;;0,6;99,9995;1000,247876
;;1;99,9995;1000,24596
;;1,4;99,9995;1000,238596
;;1,8;99,9995;1000,229655
;;2,2;99,9995;1000,220321
;;2,6;99,9995;1000,211079
;;3;99,9995;1000,202151
;;3,4;99,9995;1000,19364
;;3,8;99,9995;1000,185585
;202650;;;
;;0,2;99,9995;1000,312737
;;0,6;99,9995;1000,33709
;;1;99,9995;1000,326414
;;1,4;99,9995;1000,312003
;;1,8;99,9995;1000,297293
;;2,2;99,9995;1000,283094
;;2,6;99,9995;1000,269659
;;3;99,9995;1000,257064
;;3,4;99,9995;1000,245306
;;3,8;99,9995;1000,234353
;236425;;;
;;0,2;99,9995;1000,435838
;;0,6;99,9995;1000,445416
;;1;99,9995;1000,420879
;;1,4;99,9995;1000,396329
;;1,8;99,9995;1000,37379
;;2,2;99,9995;1000,353256
;;2,6;99,9995;1000,334529
;;3;99,9995;1000,317412
;;3,4;99,9995;1000,301727
;;3,8;99,9995;1000,287321
;270200;;;
;;0,2;99,9995;1000,59648
;;0,6;99,9995;1000,57761
;;1;99,9995;1000,532142
;;1,4;99,9995;1000,493397
;;1,8;99,9995;1000,460427
;;2,2;99,9995;1000,431754
;;2,6;99,9995;1000,406414
;;3;99,9995;1000,383767
;;3,4;99,9995;1000,363363
;;3,8;99,9995;1000,344867
;303975;;;
;;0,2;99,9995;1000,809029
;;0,6;99,9995;1000,73991
;;1;99,9995;1000,66367
;;1,4;99,9995;1000,605395
;;1,8;99,9995;1000,5587
;;2,2;99,9995;1000,51967
;;2,6;99,9995;1000,486125
;;3;99,9995;1000,456758
;;3,4;99,9995;1000,430715
;;3,8;99,9995;1000,407398
;337750;;;
;;0,2;99,9995;1001,095742
;;0,6;99,9995;1000,940678
;;1;99,9995;1000,819843
;;1,4;99,9995;1000,734981
;;1,8;99,9995;1000,670377
;;2,2;99,9995;1000,618252
;;2,6;99,9995;1000,574588
;;3;99,9995;1000,537093
;;3,4;99,9995;1000,504336
;;3,8;99,9995;1000,475356
;371525;;;
;;0,2;99,9995;1001,493192
;;0,6;99,9995;1001,191374
;;1;99,9995;1001,006272
;;1,4;99,9995;1000,885425
;;1,8;99,9995;1000,797568
;;2,2;99,9995;1000,728958
;;2,6;99,9995;1000,672859
;;3;99,9995;1000,625566
;;3,4;99,9995;1000,584844
;;3,8;99,9995;1000,549231
;405300;;;
;;0,2;99,9995;1002,066216
;;0,6;99,9995;1001,508146
;;1;99,9995;1001,230258
;;1,4;99,9995;1001,060789
;;1,8;99,9995;1000,942814
;;2,2;99,9995;1000,853504
;;2,6;99,9995;1000,782159
;;3;99,9995;1000,723084
;;3,4;99,9995;1000,672929
;;3,8;99,9995;1000,629565
1100;;;;
;101325;;;
;;0,2;90,5995;1701,487723
;;0,6;99,9995;1104,889317
;;1;99,9995;1103,562549
;;1,4;99,9995;1102,985543
;;1,8;99,9995;1102,626762
;;2,2;99,9995;1102,367194
;;2,6;99,9995;1102,163838
;;3;99,9995;1101,996893
;;3,4;99,9995;1101,855697
;;3,8;99,9995;1101,733826
;135100;;;
;;0,2;69,7775;1701,593825
;;0,6;99,9995;1114,182355
;;1;99,9995;1107,373133
;;1,4;99,9995;1105,582857
;;1,8;99,9995;1104,649787
;;2,2;99,9995;1104,042583
;;2,6;99,9995;1103,600837
;;3;99,9995;1103,25775
;;3,4;99,9995;1102,979849
;;3,8;99,9995;1102,748149
;168875;;;
;;0,2;56,7935;1701,664931
;;0,6;93,0585;2517,970294
;;1;99,9995;1117,075345
;;1,4;99,9995;1110,507568
;;1,8;99,9995;1108,032227
;;2,2;99,9995;1106,641978
;;2,6;99,9995;1105,719102
;;3;99,9995;1105,047189
;;3,4;99,9995;1104,528802
;;3,8;99,9995;1104,112808
;202650;;;
;;0,2;47,9375;1701,719488
;;0,6;77,3735;2517,246472
;;1;99,8395;2859,140864
;;1,4;99,9995;1122,249838
;;1,8;99,9995;1114,302371
;;2,2;99,9995;1110,917329
;;2,6;99,9995;1108,956839
;;3;99,9995;1107,647047
;;3,4;99,9995;1106,696009
;;3,8;99,9995;1105,966901
;236425;;;
;;0,2;41,5255;1701,763271
;;0,6;66,0055;2521,335674
;;1;85,0365;2857,843222
;;1,4;99,9995;1217,646196
;;1,8;99,9995;1129,028296
;;2,2;99,9995;1118,782097
;;2,6;99,9995;1114,237822
;;3;99,9995;1111,58385
;;3,4;99,9995;1109,813121
;;3,8;99,9995;1108,533864
;270200;;;
;;0,2;36,6765;1701,799541
;;0,6;57,4065;2524,839082
;;1;73,8245;2867,464852
;;1,4;87,9885;2849,879791
;;1,8;99,9995;1257,491225
;;2,2;99,9995;1137,506973
;;2,6;99,9995;1123,978039
;;3;99,9995;1117,988905
;;3,4;99,9995;1114,508462
;;3,8;99,9995;1112,200923
;303975;;;
;;0,2;32,8875;1701,830307
;;0,6;50,6875;2527,84117
;;1;65,0535;2875,901641
;;1,4;77,5415;2856,069934
;;1,8;89,0195;2636,055766
;;2,2;99,9515;2401,230517
